Grandes, Chicas
Montaña,Hormiga
Elefante,Lápiz
Rascacielos,Botón
Océano,Cuchara
Ballena,Abeja
Avión,Aguja
Árbol,Pez
Ciudad,Flor
Glaciar,Canica
Planeta,Ratón
Estrella,Araña
Cometa,Llave
Búfalo,Bicho
Río,Escarabajo
Universo,Saltamontes
Dinosaurio,Semilla
Automóvil,Caramelo
Tractor,Celular
Castillo,Lenteja
Gigante,Estampilla
Oso,Célula
Catedral,Mariposa
Autobús,Grano
Mansión,Anillo
Desierto,Piña
Nebulosa,Moneda
Biblioteca,Bombilla
Faro,Cereza
Satélite,Gota
Estadio,Tuerca
Barco,Calcetín
Tren,Llavero
Granero,Erizo
Refugio,Dedal
Cementerio,Arándano
Pirámide,Fosforo
Templo,Caracol
Galaxia,Ajo
Fábrica,Almendra
Aeropuerto,Piojo
Selva,Clip
Volcán,Esmalte
Nube,Nuez
Torre,Colibrí
Coloso,Avispa
Rascacielos,Miga
Leviatán,Chispa
Amazonas,Carta
Muralla,Pluma
Monumento,Galleta
Castillo,Tijera
Mansión,Púa
Valle,Pinza 
Cordillera,Pastilla
Isla,Arito
Plaza,Tecla 
Mar,Diente 
Catarata,Uña 
Puente,Astilla
Edificio,Lunar
Represa,Pestaña
Pantano,Sacapunta
Laguna,Goma 
Estadio,Pupila
